ORDERNUMBER,quantity,priceperunit,SALES,ORDERDATE,PRODUCTLINE,itemid,CUSTOMERNAME,PHONE,address,CustomerID
10107,30,95.7,2871,2/24/2003 0:00,Motorcycles,1678,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10121,34,95.7,3253.8,5/7/2003 0:00,Motorcycles,1678,Reims Collectables,0300-0000000,59 rue de l'Abbaye,2
10134,41,95.7,3923.7,7/1/2003 0:00,Motorcycles,1678,Lyon Souveniers,0314-6627555,27 rue du Colonel Pierre Avia,3
10145,45,95.7,4306.5,8/25/2003 0:00,Motorcycles,1678,Toys4GrownUps.com,0326-5557265,78934 Hillside Dr.,4
10159,49,95.7,4689.3,10/10/2003 0:00,Motorcycles,1678,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10168,36,95.7,3445.2,10/28/2003 0:00,Motorcycles,1678,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10180,29,95.7,2775.3,11/11/2003 0:00,Motorcycles,1678,Daedalus Designs Imports,0300-0000000,"184, chausse de Tournai",7
10188,48,95.7,4593.6,11/18/2003 0:00,Motorcycles,1678,Herkku Gifts,0372-2673215,"Drammen 121, PR 744 Sentrum",8
10201,22,95.7,2105.4,12/1/2003 0:00,Motorcycles,1678,Mini Wheels Co.,0350-5555787,5557 North Pendale Street,9
10211,41,95.7,3923.7,1/15/2004 0:00,Motorcycles,1678,Auto Canal Petit,0300-0000000,"25, rue Lauriston",10
10223,37,95.7,3540.9,2/20/2004 0:00,Motorcycles,1678,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10237,23,95.7,2201.1,4/5/2004 0:00,Motorcycles,1678,Vitachrome Inc.,0312-5551500,2678 Kingston Rd.,12
10251,28,95.7,2679.6,5/18/2004 0:00,Motorcycles,1678,Tekni Collectables Inc.,0301-5559350,7476 Moss Rd.,13
10263,34,95.7,3253.8,6/28/2004 0:00,Motorcycles,1678,Gift Depot Inc.,0303-5552570,25593 South Bay Ln.,14
10275,45,95.7,4306.5,7/23/2004 0:00,Motorcycles,1678,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10285,36,95.7,3445.2,8/27/2004 0:00,Motorcycles,1678,Marta's Replicas Co.,0317-5558555,39323 Spinnaker Dr.,16
10299,23,95.7,2201.1,9/30/2004 0:00,Motorcycles,1678,"Toys of Finland, Co.",0300-0000000,Keskuskatu 45,17
10309,41,95.7,3923.7,10/15/2004 0:00,Motorcycles,1678,Baane Mini Imports,0300-0000000,Erling Skakkes gate 78,18
10318,46,95.7,4402.2,11/2/2004 0:00,Motorcycles,1678,Diecast Classics Inc.,0315-5551555,7586 Pompton St.,19
10329,42,95.7,4019.4,11/15/2004 0:00,Motorcycles,1678,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10341,41,95.7,3923.7,11/24/2004 0:00,Motorcycles,1678,Salzburg Collectables,0300-0000000,Geislweg 14,20
10361,20,95.7,1914,12/17/2004 0:00,Motorcycles,1678,Souveniers And Things Co.,0329-4958555,"Monitor Money Building, 815 Pacific Hwy",21
10375,21,95.7,2009.7,2/3/2005 0:00,Motorcycles,1678,La Rochelle Gifts,0300-0000000,"67, rue des Cinquante Otages",15
10388,42,95.7,4019.4,3/3/2005 0:00,Motorcycles,1678,FunGiftIdeas.com,0308-5552555,1785 First Street,22
10403,24,95.7,2296.8,4/8/2005 0:00,Motorcycles,1678,"UK Collectables, Ltd.",0371-5552282,Berkeley Gardens 12  Brewery,23
10417,66,95.7,6316.2,5/13/2005 0:00,Motorcycles,1678,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10103,26,100,2600,1/29/2003 0:00,Classic Cars,1949,Baane Mini Imports,0300-0000000,Erling Skakkes gate 78,18
10112,29,100,2900,3/24/2003 0:00,Classic Cars,1949,"Volvo Model Replicas, Co",0392-1123555,Berguvsvgen  8,25
10126,38,100,3800,5/28/2003 0:00,Classic Cars,1949,"Corrida Auto Replicas, Ltd",0300-0000000,"C/ Araquil, 67",26
10140,37,100,3700,7/24/2003 0:00,Classic Cars,1949,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10150,45,100,4500,9/19/2003 0:00,Classic Cars,1949,"Dragon Souveniers, Ltd.",0300-0000000,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",27
10163,21,100,2100,10/20/2003 0:00,Classic Cars,1949,Classic Legends Inc.,0312-5558493,5905 Pompton St.,28
10174,34,100,3400,11/6/2003 0:00,Classic Cars,1949,"Australian Gift Network, Co",0373-8446555,31 Duncan St. West End,29
10183,23,100,2300,11/13/2003 0:00,Classic Cars,1949,"Classic Gift Ideas, Inc",0315-5554695,782 First Street,30
10194,42,100,4200,11/25/2003 0:00,Classic Cars,1949,"Saveley & Henriot, Co.",0300-0000000,"2, rue du Commerce",31
10206,47,100,4700,12/5/2003 0:00,Classic Cars,1949,Canadian Gift Exchange Network,0304-5553392,1900 Oak St.,32
10215,35,100,3500,1/29/2004 0:00,Classic Cars,1949,West Coast Collectables Co.,0310-5553722,3675 Furth Circle,33
10228,29,100,2900,3/10/2004 0:00,Classic Cars,1949,Cambridge Collectables Co.,0317-5555555,4658 Baden Av.,34
10245,34,100,3400,5/4/2004 0:00,Classic Cars,1949,Super Scale Inc.,0303-5559545,567 North Pendale Street,35
10258,32,100,3200,6/15/2004 0:00,Classic Cars,1949,"Tokyo Collectables, Ltd",0333-5840555,2-2-8 Roppongi,36
10270,21,100,2100,7/19/2004 0:00,Classic Cars,1949,Souveniers And Things Co.,0329-4958555,"Monitor Money Building, 815 Pacific Hwy",21
10280,34,100,3400,8/17/2004 0:00,Classic Cars,1949,Amica Models & Co.,0311-4988555,Via Monte Bianco 34,37
10291,37,100,3700,9/8/2004 0:00,Classic Cars,1949,Scandinavian Gift Ideas,0369-5346555,?kergatan 24,38
10304,47,100,4700,10/11/2004 0:00,Classic Cars,1949,Auto Assoc. & Cie.,0300-0000000,"67, avenue de l'Europe",39
10312,48,100,4800,10/21/2004 0:00,Classic Cars,1949,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10322,40,100,4000,11/4/2004 0:00,Classic Cars,1949,Online Diecast Creations Co.,0303-5558647,2304 Long Airport Avenue,41
10333,26,100,2600,11/18/2004 0:00,Classic Cars,1949,Mini Wheels Co.,0350-5555787,5557 North Pendale Street,9
10347,30,100,3000,11/29/2004 0:00,Classic Cars,1949,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10357,32,100,3200,12/10/2004 0:00,Classic Cars,1949,Mini Gifts Distributors Ltd.,0315-5551450,5677 Strong St.,40
10369,41,100,4100,1/20/2005 0:00,Classic Cars,1949,Collectables For Less Inc.,0317-5558555,7825 Douglas Av.,42
10381,36,100,3600,2/17/2005 0:00,Classic Cars,1949,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10391,24,100,2400,3/9/2005 0:00,Classic Cars,1949,"Anna's Decorations, Ltd",0329-9368555,201 Miller Street,43
10411,23,100,2300,5/1/2005 0:00,Classic Cars,1949,Quebec Home Shopping Network,0314-5558054,43 rue St. Laurent,44
10424,50,100,5000,5/31/2005 0:00,Classic Cars,1949,Euro Shopping Channel,0300-0000000,"C/ Moralzarzal, 86",24
10107,39,99.91,3896.49,2/24/2003 0:00,Motorcycles,2016,Land of Toys Inc.,0312-5557818,897 Long Airport Avenue,1
10120,29,99.91,2897.39,4/29/2003 0:00,Motorcycles,2016,"Australian Collectors, Co.",0339-5204555,636 St Kilda Road,11
10134,27,99.91,2697.57,7/1/2003 0:00,Motorcycles,2016,Lyon Souveniers,0314-6627555,27 rue du Colonel Pierre Avia,3
10145,37,99.91,3696.67,8/25/2003 0:00,Motorcycles,2016,Toys4GrownUps.com,0326-5557265,78934 Hillside Dr.,4
10159,37,99.91,3696.67,10/10/2003 0:00,Motorcycles,2016,Corporate Gift Ideas Co.,0350-5551386,7734 Strong St.,5
10168,27,99.91,2697.57,10/28/2003 0:00,Motorcycles,2016,Technics Stores Inc.,0350-5556809,9408 Furth Circle,6
10180,42,99.91,4196.22,11/11/2003 0:00,Motorcycles,2016,Daedalus Designs Imports,0300-0000000,"184, chausse de Tournai",7
10188,38,99.91,3796.58,11/18/2003 0:00,Motorcycles,2016,Herkku Gifts,0372-2673215,"Drammen 121, PR 744 Sentrum",8
